"date","fti","fam_year_ago","fam_next_year","dk_year_ago","dk_next_year","goods","forbr","vkst_pct"
2010 Q3,3.6,1.8,12.6666666666667,-6.63333333333333,15.3,-5.26666666666667,207718,0.00508061238314592
2010 Q4,1.16666666666667,0.6,12.3333333333333,-11.1333333333333,11.9,-7.8,209172,0.0161132836219669
2011 Q1,0.666666666666667,0.366666666666667,10.0666666666667,-7.76666666666667,9.53333333333333,-8.96666666666667,206526,-0.0114494682124087
2011 Q2,2.53333333333333,0.0666666666666667,11.4666666666667,-2.26666666666667,13.3666666666667,-9.9,209336,0.0120281559405941
2011 Q3,-2.13333333333333,-1.33333333333333,8.76666666666667,-13.6666666666667,4.8,-9.16666666666667,209845,0.0102398444044329
2011 Q4,-8.53333333333333,-4.56666666666667,4.43333333333333,-22.0333333333333,-9.56666666666667,-10.9666666666667,210380,0.00577515154992064
2012 Q1,-4.06666666666667,-3.7,8.06666666666667,-18.4,2.4,-8.7,209560,0.0146906442772339
2012 Q2,-0.8,-3.6,7.83333333333333,-6.96666666666667,8.76666666666667,-10.0333333333333,210236,0.00429930828906638
2012 Q3,-0.7,0.266666666666667,7.73333333333333,-10.5666666666667,5.63333333333333,-6.53333333333333,209363,-0.00229693345088041
2012 Q4,-3.83333333333333,-4.3,8.26666666666667,-14.5333333333333,3.06666666666667,-11.6333333333333,210323,-0.000270938302119973
2013 Q1,-2.26666666666667,-2.5,8.56666666666667,-10.9,5.36666666666667,-11.7,211082,0.00726283641916396
2013 Q2,-0.666666666666667,-1.76666666666667,9.73333333333333,-6.33333333333333,8.66666666666667,-13.6666666666667,210960,0.00344374892977416
2013 Q3,4.76666666666667,-0.366666666666667,10.5333333333333,4.73333333333333,16.2666666666667,-7.23333333333333,211149,0.00853063817388937
2013 Q4,3.83333333333333,-1.13333333333333,9.9,5.93333333333333,16.1666666666667,-11.7,211742,0.00674676568896412
2014 Q1,5.16666666666667,-0.833333333333333,10.1666666666667,7.9,17.4,-8.73333333333333,210811,-0.00128386124823528
2014 Q2,7.53333333333333,1.03333333333333,11.1333333333333,11.7,20.1,-6.23333333333333,213288,0.0110352673492605
2014 Q3,9.7,3.3,14.2666666666667,15.3666666666667,22.4333333333333,-6.7,214954,0.0180204500139712
2014 Q4,6.83333333333333,4.36666666666667,13.6666666666667,11.4666666666667,14.6666666666667,-10,215266,0.0166428955993615
2015 Q1,10.6666666666667,6.03333333333333,14.3,15.3333333333333,19.9333333333333,-2.16666666666667,215430,0.0219106213622629
2015 Q2,12.1666666666667,5.13333333333333,15.1,20.1333333333333,23.2333333333333,-2.66666666666667,217679,0.0205871872772964
2015 Q3,7.9,5.76666666666667,13.1,15.4666666666667,11.4,-6.46666666666667,220935,0.0278245578123692
2015 Q4,4.9,5.33333333333333,12.1333333333333,9.83333333333333,5.76666666666667,-8.6,221602,0.0294333522246895
2016 Q1,4.06666666666667,4.73333333333333,11.6333333333333,8.5,1.03333333333333,-5.6,224200,0.0407092791161862
2016 Q2,4.36666666666667,5.86666666666667,12.5333333333333,5.96666666666667,3.43333333333333,-5.86666666666667,225068,0.0339444778779763
2016 Q3,3.23333333333333,5.5,11,4.9,0.133333333333333,-5.4,224205,0.0148007332473352
2016 Q4,0.6,2.63333333333333,10.6333333333333,1.13333333333333,-3.46666666666667,-7.9,227552,0.0268499381774533
2017 Q1,5.16666666666667,4.53333333333333,13.7333333333333,7.63333333333333,4.83333333333333,-5.03333333333333,229616,0.024157002676182
2017 Q2,6.76666666666667,4.8,13.0666666666667,12.6666666666667,10.3333333333333,-6.9,230823,0.0255700499404624
2017 Q3,8.46666666666667,7.06666666666667,14.5,15.2,11.9333333333333,-6.33333333333333,231059,0.0305702370598336
2017 Q4,7.06666666666667,7.3,13.8333333333333,13.8333333333333,7.93333333333333,-7.6,235015,0.0327968991702995
2018 Q1,8.4,6.2,15.3,17.1,9.86666666666667,-6.46666666666667,238470,0.0385600306598843
2018 Q2,9,6.16666666666667,13.2666666666667,19.5333333333333,11.9,-6,241508,0.046290880891419
2018 Q3,8.13333333333333,7.43333333333333,14.5,15.6333333333333,8,-5.03333333333333,240646,0.0414915670889253
2018 Q4,4.1,5.26666666666667,11.6333333333333,8.63333333333333,2.83333333333333,-7.76666666666667,238851,0.0163223624023998
2019 Q1,3.66666666666667,5.56666666666667,12.8,6.36666666666667,-0.133333333333333,-6.33333333333333,243959,0.0230175703442781
2019 Q2,5.13333333333333,9.2,12.8666666666667,8.03333333333333,2.93333333333333,-7.4,242014,0.0020951686900641
2019 Q3,4.5,8.63333333333333,12.9,9.76666666666667,-3.86666666666667,-4.96666666666667,242938,0.00952436358800894
2019 Q4,1.86666666666667,6.93333333333333,12.2666666666667,4.4,-4.86666666666667,-9.5,244792,0.0248732473382988
2020 Q1,2.73333333333333,6.6,12.5333333333333,6.4,-4.06666666666667,-7.9,240585,-0.0138301927782947
2020 Q2,-7.93333333333333,4.93333333333333,8.3,-30.9,-9.53333333333333,-12.4333333333333,226517,-0.0640334856661185
2020 Q3,-5.26666666666667,3.13333333333333,11.3666666666667,-29.3666666666667,-2.23333333333333,-9.4,241796,-0.00470078785533758
2020 Q4,-5.86666666666667,4.03333333333333,11.2333333333333,-29.6333333333333,-8.66666666666667,-6.5,241531,-0.01332151377496
2021 Q1,-4.76666666666667,4.96666666666667,12.3666666666667,-33.4,-2.6,-5.23333333333333,233799,-0.0282062472722738
2021 Q2,1.33333333333333,6.06666666666667,13.3,-18.4,8.76666666666667,-3.23333333333333,246423,0.0878786139671636
2021 Q3,5.06666666666667,8.1,13.6333333333333,1.63333333333333,10.6333333333333,-8.63333333333333,253099,0.0467460173038429
2021 Q4,-0.266666666666667,1.86666666666667,8.43333333333333,1.8,0.933333333333333,-14.3333333333333,253458,0.0493808248216585
2022 Q1,-6.36666666666667,-0.0333333333333334,2.66666666666667,-9.9,-9.56666666666667,-15,249212,0.0659241485207379
2022 Q2,-22.7,-15.3333333333333,-7.43333333333333,-36.3333333333333,-22.9666666666667,-31.3666666666667,249389,0.0120362141520881
